new_index,Net revenue,Gross profit,Operating profit,Profit after tax,Net profit,Current assets,Total assets,Liabilities,Short -term liabilities,Owner's equity,Trailing EPS,Book value per share,ROS,ROEA,ROAA,Price
2010Q2,10723958,1192998,588259,505273,388100,8459817.0,11481762.0,6905965.0,4852129.0,3697738.0,8084.0,19097.0,4.71,11.1,3.54,14.543155645460647
2010Q1,8017530,1009266,420106,384409,290085,7660727.0,10423086.0,6324833.0,4409645.0,3293524.0,7909.0,22879.0,4.79,9.22,2.79,13.749085499044611
2009Q4,14983873,1371888,356012,366566,288213,8103156.0,10644732.0,6906696.0,4878984.0,2991146.0,7451.0,20777.0,2.45,9.58,3.18,13.470349943157252
2009Q3,8377067,1050196,484837,405963,322160,5811411.0,7465571.0,3673379.0,3658224.0,3023642.0,7784.0,21003.0,4.85,11.28,4.64,13.358912150910236
2009Q2,8799390,935528,377964,314615,231859,4905576.0,6407989.0,3075612.0,3065105.0,2686794.0,6973.0,19014.0,3.58,8.79,3.75,10.216614647083947
2009Q1,7438682,875967,380665,317120,219520,4530553.0,5966095.0,2760314.0,2595308.0,2590779.0,7412.0,18353.0,4.26,8.74,3.63,7.44074636756938
2008Q4,9113084,1016029,415499,360779,330496,4743460.0,6145766.0,3235536.0,3226761.0,2384335.0,7952.0,16871.0,3.96,14.16,5.35,8.407113939809172
2008Q3,7464328,720966,197335,175795,120469,4812220.0,6200412.0,3380842.0,3306146.0,2282579.0,8371.0,24212.0,2.36,5.32,1.9,9.098042731593653
2008Q2,8830457,961511,327591,272587,201584,5108073.0,6481234.0,3749750.0,3672149.0,2245553.0,8060.0,23819.0,3.09,9.2,3.12,7.291905020739601
2008Q1,8403531,689552,287888,246359,186105,5220523.0,6451497.0,3895456.0,3819710.0,2138347.0,8226.0,23124.0,2.93,9.12,3.15,16.222208707474014
2007Q4,9376397,895754,350400,312744,272507,4366815.0,5346280.0,3068775.0,3002230.0,1988409.0,8628.0,21501.0,3.34,13.73,5.97,26.31986058397695
2007Q3,6238109,480384,116782,128385,87812,3154149.0,3784711.0,1520008.0,1388572.0,1980926.0,5948.0,21420.0,2.06,4.5,2.29,25.39658774157106
2007Q2,6070562,561246,268288,256617,210922,3422271.0,3868744.0,1744538.0,1744538.0,1919409.0,0.0,21043.0,4.23,11.72,5.88,33.45194538454949
2007Q1,5663585,402931,162197,179456,155047,2947791.0,3308996.0,1486010.0,1371071.0,1678956.0,0.0,27565.0,3.17,9.63,4.62,39.61392767065004
2006Q4,7142553,614657,243988,240015,228362,3072816.0,3407866.0,1714506.0,1588332.0,1570106.0,0.0,25775.0,3.36,29.09,13.4,31.300090515656407
