HS_KHANANG_TT_NHANH2,TS_KHANANG_TRALAI3,CHISO_LOINHUAN_GOP4,HS_NODAIHAN5,HS_KHOANPHAITHU_TREN_TS6,HS_DONBAY7,HS_VONGQUAY_TS_NGANHAN8,TANGTRUONG_DOANHTHUTHUAN9,TONG_NO10,DOANHTHUTHUAN11
0.035289194,0.437876175,0.232329199,0.152461351,0.709478468,0.023845211,0.070561257,0.000698087,0.000489568,0.001331448
0.024886357,0.438115193,0.191573144,0,0.033758927,0.029961412,0.106361916,0.000515055,0.000490127,0.001525811
0.040867291,0.438495876,0.084563891,0.391273393,0.033867128,0.030264375,0.374785409,0.002040328,0.000490127,0.005461469
0.014064989,0.43768411,0.112325261,0,0.053668037,0.043307714,0.05291781,0.003607677,0.000512419,0.000767062
0.035079928,0.438107642,0.04754873,0,0.223761091,0.032950036,0.531584026,0.011043359,0.000518253,0.007408307
0.02089403,0.438920858,0.202598937,0.1296786,0.245942437,0.029380544,0.121824994,0.050071798,0.000528094,0.001390759
0.052404813,0.438077472,0.147863753,0,0,0.008132155,0.155908926,0.003606338,0.000532068,0.006972969
0.025881532,0.452881338,0.200630045,0.129576892,0.291387146,0.010116219,0.273523552,0.001342049,0.000542494,0.006768435
0.020056967,0.438702812,0.182516243,0,0.169552045,0.007644682,0.713882937,0.002059262,0.000583568,0.012630001
0.0238005,0.438150598,0.227013192,0,0.301017096,0.020396448,0.252371465,0.001901666,0.000587228,0.004540274
0.023593559,0.438180073,0.336975783,0,0.015581043,0.063966123,0.105935867,0.00158112,0.000599501,0.000968669
0.022863454,0.439167275,0.080330774,0,0.576823198,0.038275801,0.40973397,0.001915054,0.00059959,0.0048865
0.015188049,0.438055151,0.119511715,0.03376729,0.337048258,0.015426038,0.128742027,0.002166366,0.000603453,0.004013979
0.052116491,0.438249566,0.12758417,0.337672905,0.619346462,0.013879334,0.115146047,0.002089289,0.000616891,0.002796212
0.023040167,0.438413698,0.1833038,0,0.420796364,0.022915822,0.114795183,0.005331284,0.000636015,0.002496331
0.028829855,0.437931618,0.175625123,0,0.174421121,0.012574089,0.057391326,0.001827841,0.000649386,0.001429761
0.020082544,0.438001865,0.108781256,0,0.507357715,0.034098105,0.378845407,0.004526284,0.000690027,0.00645412
0.00403883,0.437931287,0.542724946,0,0.801233499,0.01805703,0.006754132,8.09016E-05,0.000709498,0.000221581
0.019915131,0.438543822,0.164697775,0,0.211967107,0.011576363,0.416437979,0.002218388,0.000710986,0.013177627
0.014783468,0.437941049,0.171588895,0,0.33845488,0.048038943,0.153252384,0.012056256,0.000732746,0.001829369
0.027581236,0.437940605,0.130340618,0,0.57822982,0.018565005,0.159304788,0.003004453,0.000748754,0.004577073
0.011592872,0.437964,0.115993245,0.11357183,0.247574872,0.042752038,0.20529039,0.001933565,0.000755115,0.003385471
0.020515026,0.437951597,0.195215594,0,0.449794417,0.044057148,0.133641592,0.001264208,0.000761808,0.002697086
0.015455444,0.438021262,0.187438472,0,0.281107985,0.04567219,0.165645402,0.001954071,0.000769673,0.003814784
0.017606231,0.437943252,0.176117346,0,0.224410301,0.019136761,0.124381289,0.023452101,0.000779199,0.003279664
0.016399465,0.438129931,0.241976767,0.145545159,0.05702229,0.008829197,0.318947909,0.002051038,0.000798543,0.005344861
0.015620531,0.438086102,0.270821028,0,0.26152348,0.023009216,0.222222222,0.001934945,0.000827991,0.005241092
0.024944486,0.438209469,0.246702107,0.298006509,0.272343649,0.027255249,0.233412278,0.003549535,0.000831158,0.003519921
0.019152473,0.43791381,0.043315613,0,0.343215754,0.053533274,0.396150521,0.043618411,0.000852966,0.0058924
0.047721909,0.437921824,0.140775743,0,0.662735339,0.011063832,0.145220105,0.003884043,0.000870874,0.007305766
0.020008138,0.43838998,0.2667848,0,0.483553343,0.026530873,0.152976705,0.001468661,0.000881796,0.004698574
0.036384352,0.438919839,0.235873203,0,0.315732525,0.010769981,0.13097252,0.002758688,0.000886581,0.005013612
0.016625007,0.437963946,0.144024414,0.652156225,0.09997836,0.036934109,0.080360387,0.001212759,0.000889214,0.001495337
0.012958205,0.438230348,0.106123253,0.084316517,0.45001082,0.055952419,0.232585241,0.004526857,0.00089044,0.003285676
0.002227518,0.438020673,0.181630242,0,0.026401212,0.052052629,0.096738218,0.002929863,0.000899955,0.002022804
0.022370517,0.43782776,0.113112817,0,0.800476087,0.070777088,0.180068418,0.002321093,0.000913806,0.003105751
0.009037958,0.438020673,0.181630242,0,0.254057563,0.053888628,0.095372354,0.002929863,0.000932202,0.002022804
0.032850084,0.437950287,0.153671983,0,0.556048474,0.01149208,0.123040487,0.001520492,0.000933708,0.004309738
0.03002267,0.437934603,0.071569207,0.534682669,0.277861935,0.021020597,0.09574828,0.000698087,0.000935839,0.00539716
0.015792594,0.437975924,0.319747982,0.125101709,0.263795715,0.012346298,0.150971768,0.002145136,0.000942527,0.006341392
0.023284311,0.438935682,0.154065761,0,0.245834235,0.008457897,0.31909828,0.002581011,0.000955454,0.012361686
0.014392838,0.439725313,0.120791494,0,0.402618481,0.016480713,0.320664637,0.001916776,0.000977224,0.011598292
0.013646457,0.442063928,0.142449301,0.146663954,0.180264012,0.010590025,0.084520632,0.001862841,0.000995581,0.002846013
0.036598268,0.437937462,0.075408545,0,0.211642502,0.02462198,0.090347481,0.002869043,0.001017132,0.003025197
0.003671453,0.437837621,0.021264028,0,0.403700498,0.064774783,0.05173991,0.00302377,0.001033449,0.001039357
0.012346684,0.438305287,0.141071077,0,0.221921662,0.022414681,0.227610491,0.001860546,0.001054913,0.007713736
0.021619485,0.43792514,0.225241189,0,0.420255356,0.013954505,0.062441262,0.001082896,0.001122618,0.002635678
0.021982212,0.437919726,0.102677692,0,0.474572603,0.025610595,0.144581031,0.002705901,0.001136448,0.00422097
0.012530373,0.438974799,0.092636346,0.136187958,0.403051288,0.048767876,0.238662707,0.003048634,0.001139959,0.004188511
0.02267744,0.437922188,0.051683402,0,0.236745293,0.050476312,0.087239828,0.004838989,0.001186405,0.002265396
0.016924955,0.437933306,0.073439653,0,0.243670201,0.010751757,0.224314875,0.001848306,0.001198208,0.006801692
0.011332907,0.438233293,0.220417405,0,0.140445791,0.013022838,0.186935328,0.001735082,0.00121643,0.006868761
0.066951113,0.438116464,0.141464855,0,0.605280242,0.004564941,0.098755686,0.001958852,0.001286452,0.006751021
0.023774923,0.437947024,0.171096673,0.014544345,0.040683835,0.011945385,0.347944313,0.003004453,0.001287535,0.012349198
0.061570656,0.437966077,0.163221107,0.119812856,0.461913006,0.006847412,0.074909465,0.00148071,0.00138396,0.00541279
0.020598733,0.437920567,0.044989171,0.168836452,0.535598355,0.041423879,0.562121725,0.001619563,0.001417305,0.017111259
0.039553566,0.437959002,0.144122859,0,0.717052586,0.01564244,0.054246081,0.000639945,0.001417789,0.004829919
0.01744812,0.426753967,0,0,0.685782298,0.146130506,0.079420573,0.000595574,0.001418515,0.00254007
0.023507528,0.438378201,0.177101792,0,0.727115343,0.042275819,0.210443216,0.003019945,0.001432645,0.007683107
0.090693484,0.437936774,0.186355582,0.721826688,0.415278078,0.010569524,0.350162275,0.003354071,0.00146432,0.0096031
0.014692786,0.443883577,0.278795038,0.037530513,0.208288249,0.005717566,0.058093054,0.002340792,0.001472758,0.005545359
0.006919723,0.437878683,0.081807442,0,0.17690976,0.159763826,0.158415097,0.001955792,0.001472763,0.003840427
0.004222519,0.437932187,0.235676314,0.01962978,0.206989829,0.057515068,0.067165395,0.001208169,0.001479334,0.002193104
0.008286927,0.437978723,0.112325261,0.035191212,0.172798096,0.037437528,0.02967307,0.001153852,0.001586416,0.001099167
0.023414521,0.438760909,0.249950778,0,0.172040684,0.00198862,0.645126123,0.001397514,0.001603506,0.035873048
0.009312329,0.437858982,0.056999409,0.31682262,0.289980524,1,0.606418305,0.029030297,0.001628411,0.006955284
0.01997326,0.438028369,0.169816893,0,0,0.027590103,0.070648973,0.004301174,0.00165288,0.00357824
0.042622798,0.438022261,0.079936995,0.194365338,0.654944817,0.018467055,0.312168715,0.003260355,0.001668083,0.013881193
0.025700169,0.438329263,0.240007876,0,0.615884008,0.031991034,0.078230142,0.000344262,0.001681122,0.004507705
